feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,label
2.0,39.0,199.0,236.0,376.0,241.0,166.0,192.0,177.0,369.0,313.0,499.0,984.0,271.0,9.0,23.0,0.0010922615183517337,2.1271884254048246e-09,2.105759316917144e-11,2.4351380287224167e-11,5.150897699117102e-22,6.57462314977578e-16,-1.968672187391929e-22,145.912353515625,57.601470947265625,15.0,253.0,A
1.0,46.0,196.0,223.0,366.0,269.0,161.0,194.0,185.0,357.0,322.0,496.0,977.0,272.0,8.0,23.0,0.0010966634145006537,2.215346350809e-09,2.1262946264810623e-11,2.4495391826029334e-11,5.218142474597548e-22,7.348444921816523e-16,-2.0057167168478731e-22,145.764404296875,57.525054931640625,15.0,253.0,A
1.0,47.0,197.0,218.0,361.0,279.0,165.0,193.0,180.0,376.0,329.0,489.0,958.0,274.0,6.0,23.0,0.0011012544855475426,2.4476134452555698e-09,2.1646018311116677e-11,2.4393471617645268e-11,5.19683590952738e-22,8.076994900408892e-16,-2.1005643033818542e-22,145.6123046875,57.343040466308594,15.0,254.0,A
1.0,43.0,190.0,229.0,343.0,301.0,166.0,195.0,175.0,379.0,340.0,484.0,952.0,268.0,8.0,22.0,0.0011056765215471387,2.7490012488584625e-09,2.1996866134132986e-11,2.4094457332091146e-11,5.096722013807889e-22,8.78184860290623e-16,-2.1891435380540766e-22,145.4609375,57.20576858520508,14.0,253.0,A
0.0,44.0,185.0,219.0,361.0,298.0,164.0,196.0,190.0,369.0,362.0,477.0,933.0,268.0,7.0,23.0,0.0011101164855062962,3.12442094418941e-09,2.2694878962226106e-11,2.3555149150644716e-11,4.926145294985628e-22,9.533046654321402e-16,-2.3225132851827895e-22,145.355224609375,56.9348258972168,17.0,254.0,A
2.0,37.0,192.0,208.0,361.0,294.0,176.0,200.0,183.0,390.0,371.0,468.0,925.0,258.0,9.0,22.0,0.0011159643763676286,3.725992403502687e-09,2.312880442723042e-11,2.271374581475083e-11,4.608008925289285e-22,1.0359059420198403e-15,-2.4226806972260913e-22,145.163818359375,56.61717987060547,14.0,254.0,A
2.0,40.0,184.0,226.0,316.0,325.0,173.0,195.0,196.0,395.0,407.0,441.0,908.0,258.0,6.0,24.0,0.0011233662953600287,4.466400138625204e-09,2.3473431531861877e-11,2.164541289262356e-11,4.1706699930155285e-22,1.1102277891854848e-15,-2.5319645645433617e-22,144.963134765625,56.34693908691406,10.0,254.0,A
197.0,830.0,158.0,98.0,117.0,120.0,79.0,147.0,511.0,1366.0,432.0,41.0,0.0,0.0,0.0,0.0,0.0017378771444782615,3.089317246462997e-08,2.7343991654271704e-11,9.962501656968215e-11,5.11856980056791e-21,2.716460919865906e-15,-9.153036205647682e-22,104.628173828125,58.83913040161133,9.0,184.0,A
1.0,41.0,175.0,224.0,343.0,306.0,177.0,202.0,184.0,410.0,426.0,451.0,866.0,259.0,8.0,23.0,0.0011329741682857275,5.5335669379985575e-09,2.329905192388626e-11,2.0119841556698326e-11,3.5448632290245893e-22,1.16327026289197e-15,-2.531849201524582e-22,144.591796875,56.06623840332031,14.0,254.0,A
1.0,41.0,182.0,214.0,333.0,327.0,167.0,202.0,197.0,401.0,468.0,434.0,843.0,255.0,7.0,24.0,0.0011428424622863531,6.707439048625474e-09,2.258309338143416e-11,1.831235163507472e-11,2.804368963624488e-22,1.162689304169272e-15,-2.450220146971719e-22,144.180908203125,55.84688949584961,15.0,254.0,A
1.0,45.0,179.0,219.0,327.0,321.0,189.0,198.0,183.0,411.0,500.0,428.0,802.0,264.0,5.0,24.0,0.0011516575468704104,7.803170554154804e-09,2.15539339848414e-11,1.6533826391329498e-11,2.1596757336028544e-22,1.122294197035596e-15,-2.2533901372237035e-22,143.77587890625,55.69223403930664,12.0,255.0,A
1.0,43.0,186.0,218.0,332.0,328.0,189.0,199.0,169.0,423.0,508.0,424.0,778.0,268.0,7.0,23.0,0.0011605939362198114,8.642945914516531e-09,2.083298637767239e-11,1.5369311726076695e-11,1.7712050304679846e-22,1.0885637568891536e-15,-2.1038518969815808e-22,143.308837890625,55.77458572387695,14.0,254.0,A
1.0,42.0,198.0,212.0,335.0,338.0,170.0,198.0,176.0,433.0,515.0,421.0,763.0,265.0,5.0,24.0,0.0011673617409542203,9.023863434265422e-09,1.986960422584172e-11,1.4345439766638712e-11,1.5088166405282683e-22,1.0410011628349302e-15,-1.8945500594308936e-22,142.993408203125,55.74717712402344,15.0,254.0,A
1.0,43.0,191.0,225.0,333.0,338.0,187.0,195.0,163.0,432.0,531.0,418.0,754.0,255.0,6.0,24.0,0.0011753290891647339,9.447611581947513e-09,1.956360420884984e-11,1.3577279925347518e-11,1.3507328278720675e-22,1.0273071811766699e-15,-1.752722587438508e-22,142.57861328125,55.74162292480469,14.0,253.0,A
1.0,44.0,190.0,221.0,337.0,338.0,190.0,198.0,168.0,430.0,560.0,401.0,743.0,246.0,6.0,23.0,0.0011836078483611345,9.941555134673763e-09,1.8676933263850337e-11,1.2221198879280859e-11,1.0857966065351046e-22,9.595026172654368e-16,-1.4933861425689108e-22,142.172607421875,55.55193328857422,13.0,254.0,A
1.0,40.0,194.0,223.0,341.0,333.0,196.0,204.0,166.0,451.0,567.0,392.0,707.0,251.0,7.0,23.0,0.0011928546009585261,1.0684660267656909e-08,1.7234850699376913e-11,1.0315049162046286e-11,7.220936114692779e-23,8.310832109783835e-16,-1.1705326370948352e-22,141.644775390625,55.33464813232422,13.0,254.0,A
0.0,41.0,184.0,238.0,345.0,328.0,190.0,205.0,190.0,441.0,589.0,391.0,683.0,242.0,6.0,23.0,0.0012025667820125818,1.1753123807523025e-08,1.5104329245674286e-11,7.940298592246098e-12,3.304764892822798e-23,6.384862887997991e-16,-8.043272490199025e-23,141.07958984375,55.11023712158203,17.0,254.0,A
1.0,40.0,180.0,231.0,362.0,345.0,188.0,196.0,197.0,449.0,615.0,376.0,631.0,255.0,6.0,24.0,0.0012117666192352772,1.302906316169583e-08,1.2737816010299774e-11,5.5239727722589116e-12,5.0399289826784605e-24,4.062380867641261e-16,-4.6061758649810407e-23,140.429931640625,54.878257751464844,14.0,254.0,A
201.0,834.0,158.0,103.0,123.0,111.0,80.0,158.0,501.0,1365.0,424.0,38.0,0.0,0.0,0.0,0.0,0.0017442768439650536,3.011697202737196e-08,2.8192767564938492e-11,1.0749474921301072e-10,5.858442064921463e-21,3.1713140126514395e-15,-8.350488753047703e-22,104.219970703125,58.86131286621094,9.0,190.0,A
2.0,42.0,184.0,222.0,369.0,348.0,195.0,198.0,196.0,454.0,628.0,365.0,630.0,232.0,8.0,23.0,0.0012187317479401827,1.4163461514726805e-08,1.0337414084460317e-11,3.5376833840833344e-12,-6.976063434520409e-24,1.903488305621224e-16,-2.0224285773527992e-23,139.834228515625,54.65729904174805,14.0,253.0,A
0.0,44.0,184.0,233.0,348.0,367.0,201.0,202.0,182.0,453.0,659.0,358.0,606.0,230.0,6.0,23.0,0.0012243383098393679,1.5133958086721577e-08,8.193323623728599e-12,2.2006847299332888e-12,-7.915717468357133e-24,1.9383225686642816e-17,-4.966428445556303e-24,139.267578125,54.554283142089844,18.0,253.0,A
0.0,47.0,190.0,230.0,344.0,365.0,214.0,196.0,195.0,444.0,671.0,355.0,601.0,215.0,6.0,23.0,0.0012277676723897457,1.6000592850673456e-08,6.324948811226028e-12,1.515417891000126e-12,-4.351215152666614e-24,-8.988061817939943e-17,1.754611838309031e-24,138.81689453125,54.44977951049805,16.0,253.0,A
1.0,44.0,190.0,227.0,355.0,367.0,219.0,200.0,177.0,444.0,679.0,370.0,604.0,188.0,7.0,24.0,0.001227891189046204,1.681932459973723e-08,4.673294303619846e-12,1.3619505913678442e-12,-4.173943414729093e-25,-1.6015874990718662e-16,3.410557293327996e-24,138.4736328125,54.41080093383789,15.0,253.0,A
1.0,43.0,196.0,220.0,366.0,358.0,218.0,199.0,180.0,447.0,689.0,360.0,601.0,187.0,8.0,23.0,0.0012259966460987926,1.7750039660313632e-08,3.3471721488237405e-12,1.5344064994288198e-12,2.1730759244732264e-24,-2.0433930022170128e-16,2.7147330655469402e-24,138.30712890625,54.342002868652344,13.0,254.0,A
1.0,48.0,201.0,213.0,347.0,383.0,226.0,180.0,191.0,445.0,683.0,361.0,615.0,173.0,5.0,24.0,0.0012212034780532122,1.8890398578719214e-08,2.224365440103848e-12,1.7740558371295845e-12,3.1748279054775905e-24,-2.356376573136703e-16,1.5297313586652902e-24,138.223388671875,54.25767517089844,14.0,253.0,A
1.0,52.0,187.0,219.0,352.0,371.0,229.0,194.0,173.0,455.0,681.0,368.0,628.0,155.0,7.0,24.0,0.0012153638526797295,1.9864659250856675e-08,1.318713801351512e-12,2.0596857552845904e-12,3.39136746294759e-24,-2.6252777701544214e-16,1.4595734963694905e-25,138.2314453125,54.18075942993164,15.0,254.0,A
2.0,46.0,188.0,222.0,347.0,367.0,229.0,199.0,185.0,438.0,689.0,358.0,648.0,148.0,6.0,24.0,0.0012067091884091496,2.088629891261462e-08,6.356837257102954e-13,2.3186864754609626e-12,2.7018590527889596e-24,-2.8825989679919894e-16,-7.901716469188431e-25,138.451171875,54.06242752075195,14.0,254.0,A
0.0,54.0,194.0,202.0,352.0,374.0,222.0,197.0,187.0,434.0,681.0,372.0,648.0,150.0,5.0,24.0,0.0012014213716611266,2.2088645579287913e-08,3.0154511158030084e-13,2.497944559531895e-12,1.810011961960892e-24,-3.1651636005423076e-16,-1.1932677858770084e-24,138.519775390625,54.16307830810547,17.0,254.0,A
0.0,46.0,209.0,205.0,336.0,376.0,233.0,193.0,177.0,440.0,678.0,378.0,661.0,134.0,7.0,23.0,0.001198052428662777,2.2606901239896615e-08,1.9848082595877448e-13,2.5743988104481863e-12,1.4695017299440528e-24,-3.337618979207691e-16,-1.1077115805784241e-24,138.555419921875,54.15574645996094,16.0,253.0,A
205.0,842.0,155.0,107.0,121.0,111.0,80.0,153.0,523.0,1348.0,409.0,42.0,0.0,0.0,0.0,0.0,0.0017511936603114009,2.9610388807554955e-08,2.8756609940505662e-11,1.1505255775867695e-10,6.575486890866679e-21,3.712189230461278e-15,-7.471073179230051e-22,103.8173828125,59.0069694519043,10.0,186.0,A
0.0,51.0,206.0,203.0,345.0,370.0,215.0,194.0,181.0,448.0,691.0,362.0,653.0,148.0,6.0,23.0,0.0011975582456216216,2.254948761049036e-08,1.826084449667656e-13,2.53563619753705e-12,1.5582259020303915e-24,-3.391932319972413e-16,-7.409126575027077e-25,138.625732421875,54.14558410644531,16.0,254.0,A
0.0,53.0,187.0,217.0,356.0,360.0,215.0,196.0,183.0,445.0,694.0,361.0,664.0,135.0,7.0,23.0,0.0011998559348285198,2.215384853343494e-08,3.3568658378176075e-13,2.4985959481971243e-12,2.2791465562196963e-24,-3.4431222267441346e-16,-2.0435707990305823e-25,138.6572265625,54.19967269897461,16.0,254.0,A
0.0,51.0,183.0,237.0,333.0,373.0,217.0,200.0,184.0,447.0,676.0,369.0,652.0,144.0,7.0,23.0,0.0012051454978063703,2.1591825216660254e-08,4.987215068003037e-13,2.46252302403549e-12,2.720877700352933e-24,-3.3842351727620356e-16,2.1006175219106726e-25,138.440185546875,54.22417068481445,16.0,254.0,A
1.0,49.0,206.0,209.0,354.0,356.0,229.0,196.0,185.0,433.0,690.0,366.0,633.0,160.0,6.0,23.0,0.0012114393757656217,2.086506611931327e-08,8.2317692159245e-13,2.3737283839919687e-12,3.315200181535333e-24,-3.1407341115523096e-16,1.3935500294260508e-25,138.207275390625,54.28279113769531,13.0,254.0,A
1.0,49.0,195.0,210.0,367.0,362.0,236.0,199.0,179.0,435.0,691.0,370.0,613.0,160.0,5.0,24.0,0.0012188615510240197,2.007348065546921e-08,1.2264245608656354e-12,2.2555987026079416e-12,3.6703098623250976e-24,-2.684328142676663e-16,-7.7660166162723125e-25,137.925537109375,54.21357345581055,14.0,253.0,A
2.0,49.0,186.0,217.0,367.0,380.0,241.0,196.0,173.0,444.0,703.0,366.0,582.0,161.0,5.0,24.0,0.0012296520872041583,1.9173070242572976e-08,1.847099946952757e-12,2.268946532393845e-12,3.356242642281719e-24,-1.912583057194571e-16,-3.2111137321807203e-24,137.333740234375,54.06529998779297,13.0,253.0,A
1.0,53.0,187.0,210.0,374.0,392.0,230.0,208.0,180.0,450.0,710.0,357.0,548.0,165.0,9.0,22.0,0.0012426640605553985,1.7891935044644924e-08,2.6256039443312007e-12,2.482017195937214e-12,4.40525764670059e-25,-5.835683120945255e-17,-6.320764174731914e-24,136.6357421875,53.845401763916016,12.0,254.0,A
0.0,53.0,190.0,211.0,384.0,414.0,237.0,203.0,175.0,456.0,719.0,352.0,492.0,179.0,7.0,24.0,0.001258981297723949,1.6538585612124734e-08,3.7154073220802e-12,3.201594588400636e-12,-7.686235464445625e-24,1.5427651637008933e-16,-7.927820961225939e-24,135.62890625,53.696842193603516,18.0,253.0,A
1.0,50.0,190.0,204.0,416.0,414.0,239.0,213.0,176.0,453.0,726.0,363.0,442.0,179.0,7.0,23.0,0.0012740063248202205,1.5112252782500946e-08,5.0454354236229015e-12,4.749459506236953e-12,-2.3168169521406248e-23,4.447814475262062e-16,-1.9442626773941196e-24,134.650146484375,53.4763298034668,14.0,254.0,A
0.0,56.0,198.0,202.0,430.0,402.0,263.0,202.0,202.0,439.0,714.0,375.0,392.0,192.0,5.0,24.0,0.0012894098181277514,1.3489287908896586e-08,6.315043106497331e-12,7.472579846568017e-12,-4.6795241519484904e-23,8.25077376805436e-16,2.1100961096996397e-23,133.466064453125,53.441627502441406,16.0,253.0,A
204.0,855.0,157.0,96.0,114.0,121.0,80.0,160.0,507.0,1350.0,418.0,34.0,0.0,0.0,0.0,0.0,0.0017579577397555113,2.9650138344550214e-08,2.982233557324854e-11,1.2025951068306284e-10,7.159883935183641e-21,3.804114328094998e-15,-7.77253113612385e-22,103.4873046875,59.03994369506836,9.0,184.0,A
2.0,54.0,202.0,201.0,423.0,441.0,274.0,197.0,183.0,472.0,681.0,383.0,361.0,193.0,6.0,23.0,0.0013010276015847921,1.2118432479724106e-08,7.468509317931638e-12,1.0553778337363262e-11,-6.928706694430362e-23,1.1613956731005778e-15,6.307583492297029e-23,132.498046875,53.27035903930664,13.0,253.0,A
1.0,54.0,198.0,212.0,430.0,458.0,272.0,203.0,191.0,440.0,693.0,393.0,329.0,193.0,6.0,23.0,0.0013098866911605,1.0925407245565566e-08,8.546803889619703e-12,1.3956308331231071e-11,-8.908007930550367e-23,1.4248330840920323e-15,1.23686220770748e-22,131.6962890625,53.21128463745117,15.0,253.0,A
1.0,55.0,192.0,212.0,432.0,481.0,281.0,202.0,179.0,440.0,691.0,401.0,308.0,192.0,6.0,23.0,0.0013150490121915936,9.905849474023398e-09,9.257362237891087e-12,1.7229783572103585e-11,-1.083832153554487e-22,1.5676424154826337e-15,1.8868970989082911e-22,131.0166015625,53.05351638793945,14.0,253.0,A
1.0,50.0,201.0,211.0,439.0,485.0,285.0,198.0,194.0,426.0,680.0,418.0,289.0,189.0,5.0,25.0,0.0013162961695343256,8.86440698621982e-09,9.705869788434462e-12,2.063006883379348e-11,-1.4272132081776067e-22,1.6063396450735385e-15,2.5465593748141643e-22,130.479736328125,52.98443603515625,15.0,254.0,A
1.0,47.0,199.0,215.0,452.0,479.0,304.0,191.0,182.0,436.0,679.0,411.0,281.0,188.0,9.0,22.0,0.0013135226909071207,7.903672383235971e-09,1.0111960747904991e-11,2.352506384140085e-11,-1.9659408353936917e-22,1.5567204550233815e-15,3.0496373048724807e-22,130.110107421875,52.86138916015625,15.0,254.0,A
2.0,48.0,199.0,212.0,456.0,491.0,306.0,187.0,186.0,426.0,688.0,419.0,254.0,192.0,6.0,24.0,0.0013090592110529542,7.05715441640109e-09,1.0449676714208156e-11,2.6054677512710178e-11,-2.716226316131651e-22,1.4284796668090805e-15,3.332353946142146e-22,129.775146484375,52.80009078979492,13.0,253.0,A
0.0,53.0,197.0,230.0,450.0,483.0,308.0,191.0,186.0,421.0,688.0,412.0,267.0,181.0,5.0,24.0,0.001303497701883316,6.357210313723272e-09,1.1557884857515965e-11,2.81633917575963e-11,-3.6997523443412623e-22,1.3249075485132584e-15,3.482881481068288e-22,129.478271484375,52.8333854675293,16.0,253.0,A
1.0,53.0,207.0,202.0,454.0,510.0,310.0,186.0,169.0,447.0,652.0,435.0,264.0,177.0,5.0,24.0,0.0012980602914467454,5.9075158098664815e-09,1.2767873563968024e-11,2.886180530681237e-11,-4.424577181591033e-22,1.186257784168386e-15,3.3346112242907814e-22,129.273681640625,52.76063537597656,14.0,253.0,A
1.0,55.0,202.0,205.0,456.0,502.0,321.0,184.0,177.0,423.0,690.0,412.0,264.0,175.0,7.0,22.0,0.001294495421461761,5.7610294312837595e-09,1.4099121176114338e-11,2.948039382055789e-11,-5.116059582058625e-22,1.010560704534742e-15,3.1543003405513285e-22,129.046875,52.71303176879883,15.0,253.0,A
0.0,56.0,202.0,199.0,477.0,508.0,302.0,194.0,169.0,415.0,690.0,417.0,256.0,181.0,6.0,24.0,0.0012938410509377718,6.20035711662581e-09,1.4860517330572698e-11,2.9325694650417233e-11,-5.302073235945229e-22,8.797955993189454e-16,3.060429679362373e-22,128.909912109375,52.803157806396484,17.0,254.0,A
218.0,845.0,163.0,94.0,126.0,112.0,75.0,164.0,508.0,1343.0,408.0,40.0,0.0,0.0,0.0,0.0,0.0017641264712437987,2.98455447023116e-08,3.000734036251451e-11,1.2425058204534878e-10,7.534193663680257e-21,3.809830529939544e-15,-8.922952363974363e-22,103.2099609375,59.12834167480469,9.0,185.0,A
1.0,59.0,201.0,204.0,475.0,487.0,333.0,178.0,175.0,430.0,666.0,424.0,248.0,189.0,7.0,19.0,0.001295962487347424,7.014305580810287e-09,1.4675928874940958e-11,2.8709316174380106e-11,-5.085637066585468e-22,7.735230341081583e-16,2.977220631079661e-22,128.7626953125,52.73503494262695,13.0,253.0,A
